	Source	Target	Weight
0	B_preGC	B_preGC	13
1	B_mem	B_preGC	14
2	Macrophages_M1	B_preGC	29
3	DC_cDC1	B_preGC	14
4	NKT	B_preGC	14
5	Mast	B_preGC	14
6	Monocytes	B_preGC	32
7	Endo	B_preGC	21
8	DC_cDC2	B_preGC	34
9	VSMC	B_preGC	26
10	T_CD4+	B_preGC	9
11	ILC	B_preGC	19
12	B_activated	B_preGC	10
13	Macrophages_M2	B_preGC	30
14	DC_pDC	B_preGC	18
15	NK	B_preGC	21
16	B_preGC	B_mem	15
17	B_mem	B_mem	17
18	Macrophages_M1	B_mem	30
19	DC_cDC1	B_mem	14
20	NKT	B_mem	19
21	Mast	B_mem	14
22	Monocytes	B_mem	35
23	Endo	B_mem	26
24	DC_cDC2	B_mem	38
25	VSMC	B_mem	34
26	T_CD4+	B_mem	14
27	ILC	B_mem	28
28	B_activated	B_mem	17
29	Macrophages_M2	B_mem	30
30	DC_pDC	B_mem	20
31	NK	B_mem	27
32	B_preGC	Macrophages_M1	11
33	B_mem	Macrophages_M1	12
34	Macrophages_M1	Macrophages_M1	51
35	DC_cDC1	Macrophages_M1	11
36	NKT	Macrophages_M1	23
37	Mast	Macrophages_M1	20
38	Monocytes	Macrophages_M1	54
39	Endo	Macrophages_M1	60
40	DC_cDC2	Macrophages_M1	38
41	VSMC	Macrophages_M1	59
42	T_CD4+	Macrophages_M1	24
43	ILC	Macrophages_M1	50
44	B_activated	Macrophages_M1	10
45	Macrophages_M2	Macrophages_M1	46
46	DC_pDC	Macrophages_M1	19
47	NK	Macrophages_M1	27
48	B_preGC	DC_cDC1	2
49	B_mem	DC_cDC1	5
50	Macrophages_M1	DC_cDC1	12
51	DC_cDC1	DC_cDC1	2
52	NKT	DC_cDC1	7
53	Mast	DC_cDC1	6
54	Monocytes	DC_cDC1	12
55	Endo	DC_cDC1	17
56	DC_cDC2	DC_cDC1	10
57	VSMC	DC_cDC1	16
58	T_CD4+	DC_cDC1	6
59	ILC	DC_cDC1	9
60	B_activated	DC_cDC1	2
61	Macrophages_M2	DC_cDC1	14
62	DC_pDC	DC_cDC1	3
63	NK	DC_cDC1	9
64	B_preGC	NKT	7
65	B_mem	NKT	15
66	Macrophages_M1	NKT	21
67	DC_cDC1	NKT	7
68	NKT	NKT	16
69	Mast	NKT	7
70	Monocytes	NKT	26
71	Endo	NKT	27
72	DC_cDC2	NKT	22
73	VSMC	NKT	25
74	T_CD4+	NKT	13
75	ILC	NKT	29
76	B_activated	NKT	14
77	Macrophages_M2	NKT	22
78	DC_pDC	NKT	10
79	NK	NKT	18
80	B_preGC	Mast	7
81	B_mem	Mast	3
82	Macrophages_M1	Mast	20
83	DC_cDC1	Mast	6
84	NKT	Mast	9
85	Mast	Mast	5
86	Monocytes	Mast	20
87	Endo	Mast	27
88	DC_cDC2	Mast	18
89	VSMC	Mast	19
90	T_CD4+	Mast	9
91	ILC	Mast	20
92	B_activated	Mast	5
93	Macrophages_M2	Mast	18
94	DC_pDC	Mast	10
95	NK	Mast	9
96	B_preGC	Monocytes	15
97	B_mem	Monocytes	21
98	Macrophages_M1	Monocytes	50
99	DC_cDC1	Monocytes	17
100	NKT	Monocytes	30
101	Mast	Monocytes	25
102	Monocytes	Monocytes	64
103	Endo	Monocytes	67
104	DC_cDC2	Monocytes	48
105	VSMC	Monocytes	71
106	T_CD4+	Monocytes	28
107	ILC	Monocytes	55
108	B_activated	Monocytes	22
109	Macrophages_M2	Monocytes	53
110	DC_pDC	Monocytes	23
111	NK	Monocytes	33
112	B_preGC	Endo	11
113	B_mem	Endo	12
114	Macrophages_M1	Endo	49
115	DC_cDC1	Endo	14
116	NKT	Endo	25
117	Mast	Endo	17
118	Monocytes	Endo	60
119	Endo	Endo	97
120	DC_cDC2	Endo	39
121	VSMC	Endo	79
122	T_CD4+	Endo	37
123	ILC	Endo	70
124	B_activated	Endo	17
125	Macrophages_M2	Endo	45
126	DC_pDC	Endo	18
127	NK	Endo	36
128	B_preGC	DC_cDC2	9
129	B_mem	DC_cDC2	14
130	Macrophages_M1	DC_cDC2	34
131	DC_cDC1	DC_cDC2	9
132	NKT	DC_cDC2	21
133	Mast	DC_cDC2	18
134	Monocytes	DC_cDC2	47
135	Endo	DC_cDC2	44
136	DC_cDC2	DC_cDC2	31
137	VSMC	DC_cDC2	46
138	T_CD4+	DC_cDC2	22
139	ILC	DC_cDC2	38
140	B_activated	DC_cDC2	13
141	Macrophages_M2	DC_cDC2	34
142	DC_pDC	DC_cDC2	15
143	NK	DC_cDC2	24
144	B_preGC	VSMC	12
145	B_mem	VSMC	17
146	Macrophages_M1	VSMC	58
147	DC_cDC1	VSMC	18
148	NKT	VSMC	29
149	Mast	VSMC	23
150	Monocytes	VSMC	78
151	Endo	VSMC	93
152	DC_cDC2	VSMC	49
153	VSMC	VSMC	96
154	T_CD4+	VSMC	44
155	ILC	VSMC	88
156	B_activated	VSMC	17
157	Macrophages_M2	VSMC	57
158	DC_pDC	VSMC	22
159	NK	VSMC	48
160	B_preGC	T_CD4+	5
161	B_mem	T_CD4+	9
162	Macrophages_M1	T_CD4+	20
163	DC_cDC1	T_CD4+	7
164	NKT	T_CD4+	14
165	Mast	T_CD4+	6
166	Monocytes	T_CD4+	21
167	Endo	T_CD4+	20
168	DC_cDC2	T_CD4+	21
169	VSMC	T_CD4+	25
170	T_CD4+	T_CD4+	9
171	ILC	T_CD4+	26
172	B_activated	T_CD4+	13
173	Macrophages_M2	T_CD4+	18
174	DC_pDC	T_CD4+	7
175	NK	T_CD4+	16
176	B_preGC	ILC	16
177	B_mem	ILC	19
178	Macrophages_M1	ILC	39
179	DC_cDC1	ILC	13
180	NKT	ILC	22
181	Mast	ILC	17
182	Monocytes	ILC	42
183	Endo	ILC	49
184	DC_cDC2	ILC	36
185	VSMC	ILC	50
186	T_CD4+	ILC	18
187	ILC	ILC	49
188	B_activated	ILC	21
189	Macrophages_M2	ILC	41
190	DC_pDC	ILC	22
191	NK	ILC	28
192	B_preGC	B_activated	18
193	B_mem	B_activated	24
194	Macrophages_M1	B_activated	43
195	DC_cDC1	B_activated	18
196	NKT	B_activated	27
197	Mast	B_activated	22
198	Monocytes	B_activated	55
199	Endo	B_activated	43
200	DC_cDC2	B_activated	54
201	VSMC	B_activated	50
202	T_CD4+	B_activated	20
203	ILC	B_activated	41
204	B_activated	B_activated	26
205	Macrophages_M2	B_activated	46
206	DC_pDC	B_activated	25
207	NK	B_activated	36
208	B_preGC	Macrophages_M2	11
209	B_mem	Macrophages_M2	13
210	Macrophages_M1	Macrophages_M2	46
211	DC_cDC1	Macrophages_M2	10
212	NKT	Macrophages_M2	22
213	Mast	Macrophages_M2	20
214	Monocytes	Macrophages_M2	55
215	Endo	Macrophages_M2	57
216	DC_cDC2	Macrophages_M2	37
217	VSMC	Macrophages_M2	60
218	T_CD4+	Macrophages_M2	22
219	ILC	Macrophages_M2	48
220	B_activated	Macrophages_M2	14
221	Macrophages_M2	Macrophages_M2	44
222	DC_pDC	Macrophages_M2	19
223	NK	Macrophages_M2	26
224	B_preGC	DC_pDC	4
225	B_mem	DC_pDC	8
226	Macrophages_M1	DC_pDC	15
227	DC_cDC1	DC_pDC	5
228	NKT	DC_pDC	10
229	Mast	DC_pDC	7
230	Monocytes	DC_pDC	17
231	Endo	DC_pDC	23
232	DC_cDC2	DC_pDC	14
233	VSMC	DC_pDC	29
234	T_CD4+	DC_pDC	8
235	ILC	DC_pDC	16
236	B_activated	DC_pDC	10
237	Macrophages_M2	DC_pDC	17
238	DC_pDC	DC_pDC	5
239	NK	DC_pDC	12
240	B_preGC	NK	9
241	B_mem	NK	15
242	Macrophages_M1	NK	22
243	DC_cDC1	NK	9
244	NKT	NK	18
245	Mast	NK	11
246	Monocytes	NK	28
247	Endo	NK	31
248	DC_cDC2	NK	26
249	VSMC	NK	33
250	T_CD4+	NK	13
251	ILC	NK	33
252	B_activated	NK	18
253	Macrophages_M2	NK	24
254	DC_pDC	NK	13
255	NK	NK	22
